Total configs generated: 642978
Total configs: 642978
Already evaluated: 168238
New configs to evaluate: 592503
------------------------------------------------------------
[2750/592503 |   0.46%] Best: 144.252760 | Elapsed:   5.7 min | ETA: 1223.8 min | Rate:  8.03 cfg/s
[2775/592503 |   0.47%] Best: 144.252760 | Elapsed:   5.8 min | ETA: 1222.0 min | Rate:  8.04 cfg/s
[2800/592503 |   0.47%] Best: 144.252760 | Elapsed:   5.8 min | ETA: 1222.1 min | Rate:  8.04 cfg/s
[2825/592503 |   0.48%] Best: 144.252760 | Elapsed:   5.9 min | ETA: 1227.1 min | Rate:  8.01 cfg/s
[2850/592503 |   0.48%] Best: 144.252760 | Elapsed:   5.9 min | ETA: 1223.0 min | Rate:  8.04 cfg/s
[2875/592503 |   0.49%] Best: 144.252760 | Elapsed:   5.9 min | ETA: 1216.0 min | Rate:  8.08 cfg/s
[2900/592503 |   0.49%] Best: 144.252760 | Elapsed:   6.0 min | ETA: 1225.9 min | Rate:  8.02 cfg/s
[2925/592503 |   0.49%] Best: 144.252760 | Elapsed:   6.0 min | ETA: 1218.9 min | Rate:  8.06 cfg/s
[2950/592503 |   0.50%] Best: 144.252760 | Elapsed:   6.1 min | ETA: 1227.3 min | Rate:  8.01 cfg/s
[2975/592503 |   0.50%] Best: 144.252760 | Elapsed:   6.2 min | ETA: 1223.7 min | Rate:  8.03 cfg/s
[3000/592503 |   0.51%] Best: 144.252760 | Elapsed:   6.3 min | ETA: 1241.0 min | Rate:  7.92 cfg/s
[3025/592503 |   0.51%] Best: 144.252760 | Elapsed:   6.4 min | ETA: 1238.4 min | Rate:  7.93 cfg/s
[3050/592503 |   0.51%] Best: 144.252760 | Elapsed:   6.5 min | ETA: 1252.8 min | Rate:  7.84 cfg/s
[3075/592503 |   0.52%] Best: 144.252760 | Elapsed:   6.6 min | ETA: 1261.5 min | Rate:  7.79 cfg/s
[3100/592503 |   0.52%] Best: 144.252760 | Elapsed:   6.7 min | ETA: 1268.6 min | Rate:  7.74 cfg/s
[3125/592503 |   0.53%] Best: 144.252760 | Elapsed:   6.8 min | ETA: 1279.1 min | Rate:  7.68 cfg/s
[3150/592503 |   0.53%] Best: 144.252760 | Elapsed:   6.9 min | ETA: 1284.3 min | Rate:  7.65 cfg/s
[3175/592503 |   0.54%] Best: 144.252760 | Elapsed:   7.0 min | ETA: 1293.8 min | Rate:  7.59 cfg/s
[3200/592503 |   0.54%] Best: 144.252760 | Elapsed:   7.0 min | ETA: 1296.5 min | Rate:  7.58 cfg/s
[3225/592503 |   0.54%] Best: 144.252760 | Elapsed:   7.2 min | ETA: 1308.8 min | Rate:  7.50 cfg/s
[3250/592503 |   0.55%] Best: 144.252760 | Elapsed:   7.2 min | ETA: 1308.3 min | Rate:  7.51 cfg/s
[3275/592503 |   0.55%] Best: 144.252760 | Elapsed:   7.4 min | ETA: 1328.7 min | Rate:  7.39 cfg/s
[3300/592503 |   0.56%] Best: 144.252760 | Elapsed:   7.4 min | ETA: 1322.0 min | Rate:  7.43 cfg/s
[3325/592503 |   0.56%] Best: 144.252760 | Elapsed:   7.6 min | ETA: 1339.0 min | Rate:  7.33 cfg/s
[3350/592503 |   0.57%] Best: 144.252760 | Elapsed:   7.6 min | ETA: 1335.6 min | Rate:  7.35 cfg/s
[3375/592503 |   0.57%] Best: 144.252760 | Elapsed:   7.7 min | ETA: 1348.5 min | Rate:  7.28 cfg/s
[3400/592503 |   0.57%] Best: 144.252760 | Elapsed:   7.8 min | ETA: 1350.3 min | Rate:  7.27 cfg/s
[3425/592503 |   0.58%] Best: 144.252760 | Elapsed:   7.9 min | ETA: 1358.3 min | Rate:  7.23 cfg/s
[3450/592503 |   0.58%] Best: 144.252760 | Elapsed:   8.0 min | ETA: 1365.4 min | Rate:  7.19 cfg/s
[3475/592503 |   0.59%] Best: 144.252760 | Elapsed:   8.0 min | ETA: 1364.0 min | Rate:  7.20 cfg/s
[3500/592503 |   0.59%] Best: 144.252760 | Elapsed:   8.1 min | ETA: 1365.4 min | Rate:  7.19 cfg/s
[3525/592503 |   0.59%] Best: 144.252760 | Elapsed:   8.1 min | ETA: 1361.3 min | Rate:  7.21 cfg/s
[3550/592503 |   0.60%] Best: 144.252760 | Elapsed:   8.2 min | ETA: 1365.7 min | Rate:  7.19 cfg/s
[3575/592503 |   0.60%] Best: 144.252760 | Elapsed:   8.2 min | ETA: 1358.4 min | Rate:  7.23 cfg/s
[3600/592503 |   0.61%] Best: 144.252760 | Elapsed:   8.3 min | ETA: 1362.4 min | Rate:  7.20 cfg/s
[3625/592503 |   0.61%] Best: 144.252760 | Elapsed:   8.4 min | ETA: 1356.7 min | Rate:  7.23 cfg/s
[3650/592503 |   0.62%] Best: 144.252760 | Elapsed:   8.4 min | ETA: 1360.4 min | Rate:  7.21 cfg/s
[3675/592503 |   0.62%] Best: 144.252760 | Elapsed:   8.5 min | ETA: 1357.2 min | Rate:  7.23 cfg/s
[3700/592503 |   0.62%] Best: 144.252760 | Elapsed:   8.5 min | ETA: 1358.0 min | Rate:  7.23 cfg/s
[3725/592503 |   0.63%] Best: 144.252760 | Elapsed:   8.6 min | ETA: 1358.4 min | Rate:  7.22 cfg/s
[3750/592503 |   0.63%] Best: 144.252760 | Elapsed:   8.6 min | ETA: 1354.4 min | Rate:  7.24 cfg/s
[3775/592503 |   0.64%] Best: 144.252760 | Elapsed:   8.7 min | ETA: 1356.8 min | Rate:  7.23 cfg/s
[3800/592503 |   0.64%] Best: 144.252760 | Elapsed:   8.7 min | ETA: 1355.3 min | Rate:  7.24 cfg/s
[3825/592503 |   0.65%] Best: 144.252760 | Elapsed:   8.8 min | ETA: 1354.2 min | Rate:  7.24 cfg/s
[3850/592503 |   0.65%] Best: 144.252760 | Elapsed:   8.9 min | ETA: 1353.6 min | Rate:  7.25 cfg/s
[3875/592503 |   0.65%] Best: 144.252760 | Elapsed:   8.9 min | ETA: 1353.3 min | Rate:  7.25 cfg/s
[3900/592503 |   0.66%] Best: 144.252760 | Elapsed:   8.9 min | ETA: 1348.0 min | Rate:  7.28 cfg/s
[3925/592503 |   0.66%] Best: 144.252760 | Elapsed:   9.0 min | ETA: 1352.7 min | Rate:  7.25 cfg/s
[3950/592503 |   0.67%] Best: 144.252760 | Elapsed:   9.1 min | ETA: 1349.0 min | Rate:  7.27 cfg/s
[3975/592503 |   0.67%] Best: 144.252760 | Elapsed:   9.1 min | ETA: 1352.8 min | Rate:  7.25 cfg/s
[4000/592503 |   0.68%] Best: 144.252760 | Elapsed:   9.2 min | ETA: 1348.0 min | Rate:  7.28 cfg/s
[4025/592503 |   0.68%] Best: 144.252760 | Elapsed:   9.2 min | ETA: 1348.8 min | Rate:  7.27 cfg/s
[4050/592503 |   0.68%] Best: 144.252760 | Elapsed:   9.3 min | ETA: 1347.2 min | Rate:  7.28 cfg/s
[4075/592503 |   0.69%] Best: 144.252760 | Elapsed:   9.3 min | ETA: 1348.0 min | Rate:  7.28 cfg/s
[4100/592503 |   0.69%] Best: 144.252760 | Elapsed:   9.4 min | ETA: 1345.0 min | Rate:  7.29 cfg/s
[4125/592503 |   0.70%] Best: 144.252760 | Elapsed:   9.4 min | ETA: 1347.2 min | Rate:  7.28 cfg/s
[4150/592503 |   0.70%] Best: 144.252760 | Elapsed:   9.5 min | ETA: 1344.9 min | Rate:  7.29 cfg/s
[4175/592503 |   0.70%] Best: 144.252760 | Elapsed:   9.5 min | ETA: 1341.3 min | Rate:  7.31 cfg/s
[4200/592503 |   0.71%] Best: 144.252760 | Elapsed:   9.6 min | ETA: 1344.4 min | Rate:  7.29 cfg/s
[4225/592503 |   0.71%] Best: 144.252760 | Elapsed:   9.6 min | ETA: 1340.8 min | Rate:  7.31 cfg/s
[4250/592503 |   0.72%] Best: 144.252760 | Elapsed:   9.7 min | ETA: 1343.6 min | Rate:  7.30 cfg/s
[4275/592503 |   0.72%] Best: 144.252760 | Elapsed:   9.7 min | ETA: 1340.5 min | Rate:  7.31 cfg/s
[4300/592503 |   0.73%] Best: 144.252760 | Elapsed:   9.8 min | ETA: 1339.8 min | Rate:  7.32 cfg/s
[4325/592503 |   0.73%] Best: 144.252760 | Elapsed:   9.8 min | ETA: 1338.1 min | Rate:  7.33 cfg/s
[4350/592503 |   0.73%] Best: 144.252760 | Elapsed:   9.9 min | ETA: 1339.3 min | Rate:  7.32 cfg/s
[4375/592503 |   0.74%] Best: 144.252760 | Elapsed:  10.0 min | ETA: 1337.9 min | Rate:  7.33 cfg/s
[4400/592503 |   0.74%] Best: 144.252760 | Elapsed:  10.0 min | ETA: 1340.4 min | Rate:  7.31 cfg/s
[4425/592503 |   0.75%] Best: 144.252760 | Elapsed:  10.1 min | ETA: 1336.5 min | Rate:  7.33 cfg/s
